species_common_name,PA,PA.lci,PA.uci,AGP,AGP.lci,AGP.uci,TA,TA.lci,TA.uci
White-tailedDeer,1.02528565319263,0.9815787597479403,1.070295727323952,0.931946026882056,0.8008420696078611,1.0843968987870198,0.955510890912045,0.8212635632953936,1.1129941108645185
MuleDeer,1.0198606825384877,0.9240029646121999,1.1227846029092339,1.7351526099896832,1.3653080107077527,2.1545846847631136,1.769613925132517,1.3999254668041836,2.180979812239496
Moose,1.0772682461110592,1.0034625461450086,1.157875608853523,1.0699731032836328,0.8717519955010146,1.3177948208754267,1.1526480483603665,0.935192788151359,1.4320159668118704
WoodlandCaribou,1.273561284377942,0.9726628357521321,1.6809091316837308,2.0337665739264037,1.2247991247429886,3.3195539242016534,2.5901263700146373,1.518064328968382,4.354337638812181
BlackBear,1.351480972213919,1.2574539437168564,1.4567062534213864,2.4896827488839572,1.9842523144628852,3.133748234377478,3.3647588619659126,2.665955165179052,4.289694269646688
GrizzlyBear,1.6293164200140944,0.8901524303737742,3.3451562779227255,2.461467990420835,1.0884302880447991,5.889000330266833,4.010510214131762,1.671808500143645,11.779705222867005
CanadaLynx,1.473626184323859,1.31719446378998,1.658580840603637,1.391660941225915,1.0778190671927708,1.8076091731207917,2.0507880026912955,1.5686926671270436,2.726171527377873
Fisher,4.551741109880645,3.4826170411238504,6.314764553202076,2.3792919098416663,1.738691621079375,3.450648493972389,10.829920798432747,7.194175599665318,18.199642060258583
Marten,2.507227877919948,2.1006084784679424,3.046883830767038,1.4863354089506444,1.0506819154303577,2.1645797472668926,3.7265815732606034,2.613757335277912,5.591554774559782
Elk(wapiti),1.125566415758529,0.9754269974673304,1.3040383961977318,1.3014804759823484,0.9318499426089675,1.740125646944521,1.4649027145311562,1.051842746868061,1.9381198035630705
GrayWolf,1.799445845397092,1.4892784082187325,2.2150132782767713,3.017663243803828,1.9281811830011968,4.7205776269483035,5.43012158687031,3.3037660046115125,8.980410828929974
Coyote,1.3994348858217263,1.3063446715840747,1.5100228363728847,2.9170727318753746,2.3736614055895195,3.6234426990585265,4.082253345465686,3.310456463629862,5.09895079312735
RedFox,2.123346097568569,1.795623029094247,2.5619254255324027,3.355796417934049,2.4330746005460293,4.693075301324363,7.125517228254845,5.114257027723579,10.259970531809914
Cougar,2.3534570511314694,1.3274763934634686,4.8,1.6468352333309884,0.9047862902510178,3.2315959218817314,3.8757559919345534,1.7801885918016371,10.792855075489205
SnowshoeHare,1.0271108769641168,0.9532913520323056,1.108294351286493,1.0672605412612963,0.8412901599828833,1.3515532885892216,1.0961949104840882,0.862471824503604,1.394326726701967
Wolverine,1.9913867355727821,1.3903527280287502,3.005157776781712,3.1978799887936624,1.5755624418253278,5.199480482537698,6.368215791637336,2.9706833414662603,11.510375180219214
